disease_mondo_term_norm,disease_mondo_termid,Disease Class
Alcohol-induced mood disorder with depressive symptoms,-1,Diseases of the nervous system
Alcohol-induced mood disorder with manic symptoms,-1,Diseases of the nervous system
Alcohol-induced mood disorder with mixed depressive and manic symptoms,-1,Diseases of the nervous system
Alcohol-induced psychotic disorder with delusions,-1,Diseases of the nervous system
Alcohol-induced psychotic disorder with hallucinations,-1,Diseases of the nervous system
Alcohol-induced psychotic disorder with mixed psychotic symptoms,-1,Diseases of the nervous system
Alcoholic Seizure,-1,Neurotoxicity Syndromes
Alcoholic Seizures,-1,Neurotoxicity Syndromes
alcohol-induced Wernicke-Korsakoff's syndrome,MONDO:0044333,Neurotoxicity Syndromes
Alcoholic jealousy,-1,Diseases of the nervous system
alcoholic cardiomyopathy,MONDO:0006643,Diseases of the nervous system
alcoholic psychosis,MONDO:0002330,Diseases of the nervous system
Alexander disease,MONDO:0008752,Neurodegenerative Diseases
Alexander disease type I,MONDO:0018209,Diseases of the nervous system
Alice in Wonderland syndrome,MONDO:0024429,Neurologic Manifestations
Alien Limb Phenomenon,-1,Neurologic Manifestations
Alien Limb Phenomenons,-1,Neurologic Manifestations
Alien Limb Syndrome,-1,Neurologic Manifestations
Alien Limb Syndromes,-1,Neurologic Manifestations
allesthesia,MONDO:0024430,Neurologic Manifestations
experimental autoimmune encephalomyelitis,MONDO:0005134,Autoimmune Diseases of the Nervous System
"Allergic Neuritis, Experimental",-1,Autoimmune Diseases of the Nervous System
serum sickness,MONDO:0043789,Diseases of the nervous system
Allodynia,-1,Diseases of the nervous system
alobar holoprosencephaly,MONDO:0019757,Diseases of the nervous system
Alogia,-1,Neurologic Manifestations
Alogias,-1,Neurologic Manifestations
Alpha B crystalline myopathy,-1,Diseases of the nervous system
Tangier disease,MONDO:0008783,Neuromuscular Diseases
fucosidosis,MONDO:0009254,Central Nervous System Diseases
Alstrom syndrome,MONDO:0008763,Nervous System Malformations
Usher syndrome,MONDO:0019501,Nervous System Malformations
alternating hemiplegia,MONDO:0016210,Diseases of the nervous system
alternating hemiplegia of childhood,MONDO:0016241,Diseases of the nervous system
central sleep apnea syndrome,MONDO:0004731,Sleep Wake Disorders
Alzheimer disease,MONDO:0004975,Neurodegenerative Diseases
Alzheimer disease dementia with depression,-1,Diseases of the nervous system
"Alzheimer disease dementia, mixed type, with cerebrovascular disease",-1,Diseases of the nervous system
"Alzheimer disease dementia, mixed type, with other nonvascular aetiologies",-1,Diseases of the nervous system
Alzheimer disease without neurofibrillary tangles,MONDO:0011401,Diseases of the nervous system
amaurosis fugax,MONDO:0043310,Neurologic Manifestations
amblyopia,MONDO:0001020,Neurologic Manifestations
"Ambulation Disorder, Neurologic",-1,Neurologic Manifestations
"Ambulation Disorders, Neurologic",-1,Neurologic Manifestations
amelocerebrohypohidrotic syndrome,MONDO:0009185,Diseases of the nervous system
ameloonychohypohidrotic syndrome,MONDO:0007095,Diseases of the nervous system
amenorrhea,MONDO:0001836,Central Nervous System Diseases
Amimia,-1,Diseases of the nervous system
Hartnup disease,MONDO:0009324,Central Nervous System Diseases
nemaline myopathy 5,MONDO:0011539,Diseases of the nervous system
amnestic disorder,MONDO:0001152,Neurologic Manifestations
transient global amnesia,MONDO:0001617,Central Nervous System Diseases
aphasia,MONDO:0000598,Neurologic Manifestations
