disease_mondo_term_norm,disease_mondo_termid,Disease Class
homocystinuria,MONDO:0004737,Central Nervous System Diseases
Horner syndrome,MONDO:0001294,Neurologic Manifestations
acquired motor neuron disease,MONDO:0020129,Diseases of the nervous system
hot water reflex epilepsy,MONDO:0013229,Diseases of the nervous system
obsolete inherited prion disease,MONDO:0017234,Diseases of the nervous system
Hurst Disease,-1,Autoimmune Diseases of the Nervous System
palmoplantar keratoderma-sclerodactyly syndrome,MONDO:0008416,Autoimmune Diseases of the Nervous System
Hurst's Disease,-1,Autoimmune Diseases of the Nervous System
Hursts Disease,-1,Autoimmune Diseases of the Nervous System
Hyaline bodies of optic disc,-1,Diseases of the nervous system
hyaline body myopathy,MONDO:0018889,Diseases of the nervous system
X-linked hydrocephalus with stenosis of the aqueduct of Sylvius,MONDO:0010611,Diseases of the nervous system
Hydrocephalus due to fourth ventricle outflow obstruction,-1,Diseases of the nervous system
Hydrocephalus due to fungal diseases,-1,Diseases of the nervous system
Hydrocephalus due to tuberculosis,-1,Diseases of the nervous system
Hydrocephalus due to tumour,-1,Diseases of the nervous system
"hydrocephalus, nonsyndromic, autosomal recessive 1",MONDO:0009360,Central Nervous System Diseases
"Hyperactivity, Psychomotor",-1,Neurologic Manifestations
Hyperaesthesia,-1,Diseases of the nervous system
Hyperalgesia,-1,Neurologic Manifestations
Hyperalgesias,-1,Neurologic Manifestations
Hyperalgesic Sensation,-1,Neurologic Manifestations
Hyperalgesic Sensations,-1,Neurologic Manifestations
Hyperalgia,-1,Neurologic Manifestations
Hypercalcemia Supravalvar Aortic Stenosis,-1,Neurologic Manifestations
Hypercalcemia-Supravalvar Aortic Stenoses,-1,Neurologic Manifestations
Hypercalcemia-Supravalvar Aortic Stenosis,-1,Neurologic Manifestations
adrenal gland hyperfunction,MONDO:0006640,Central Nervous System Diseases
hyperekplexia,MONDO:0017658,Central Nervous System Diseases
Hyperekplexia due to certain specified neuropsychiatric disorder,-1,Diseases of the nervous system
hyperlexia,MONDO:0009386,Neurologic Manifestations
Hyperesthesias,-1,Neurologic Manifestations
Hyperesthetic Sensation,-1,Neurologic Manifestations
Hyperesthetic Sensations,-1,Neurologic Manifestations
obsolete hypohidrosis,MONDO:0006560,Diseases of the nervous system
Hyperhidrosis of face or neck,-1,Diseases of the nervous system
Hyperhidrosis of scalp,-1,Diseases of the nervous system
"hyperkinesis, non-human animal",MONDO:1011626,Neurologic Manifestations
Hyperkinetic tetany,-1,Diseases of the nervous system
Hyperlacrimation,-1,Diseases of the nervous system
Hypermyotonia,-1,Neurologic Manifestations
Hypermyotonias,-1,Neurologic Manifestations
non-24-hour sleep-wake syndrome,MONDO:0019137,Diseases of the nervous system
hyperpituitarism,MONDO:0006793,Central Nervous System Diseases
hyperprolactinemia,MONDO:0005804,Central Nervous System Diseases
hyperreflexia,MONDO:0007774,Diseases of the nervous system
Hypersomnia associated with a mental disorder,-1,Diseases of the nervous system
Hypersomnia due to a medical condition,-1,Diseases of the nervous system
hypersomnia,MONDO:0005466,Diseases of the nervous system
Hypertensive Intracranial Hemorrhage,-1,Central Nervous System Diseases
Hypertensive Intracranial Hemorrhages,-1,Central Nervous System Diseases
Hyperthymic personality disorder,-1,Diseases of the nervous system
"Hypertonia, Muscle",-1,Neurologic Manifestations
"Hypertonias, Muscle",-1,Neurologic Manifestations
"Hypertonicities, Muscular",-1,Neurologic Manifestations
"Hypertonicity, Muscular",-1,Neurologic Manifestations
Hypertrophic brachial myopathy,-1,Diseases of the nervous system
IgG4-related pachymeningitis,MONDO:0018673,Diseases of the nervous system
Hypertyrosinemia,-1,Central Nervous System Diseases
familial juvenile hyperuricemic nephropathy type 1,MONDO:0008073,Neurologic Manifestations
"Hypesthesia, Tactile",-1,Neurologic Manifestations
Hypesthesias,-1,Neurologic Manifestations
"Hypesthesias, Tactile",-1,Neurologic Manifestations
Hypnagogic exploding head syndrome,-1,Diseases of the nervous system
hypnic headache,MONDO:0017181,Diseases of the nervous system
Hypnotic intoxication,-1,Diseases of the nervous system
hypoactive sexual desire disorder,MONDO:0001821,Diseases of the nervous system
"Hypoactive sexual desire dysfunction, acquired, generalised",-1,Diseases of the nervous system
"Hypoactive sexual desire dysfunction, acquired, situational",-1,Diseases of the nervous system
"Hypoactive sexual desire dysfunction, lifelong, generalised",-1,Diseases of the nervous system
Hypoaesthesia,-1,Diseases of the nervous system
hypochondriasis,MONDO:0001596,Diseases of the nervous system
Hypochondriasis with fair to good insight,-1,Diseases of the nervous system
Hypoesthesia,-1,Neurologic Manifestations
Hypoesthesias,-1,Neurologic Manifestations
Hypofunctional motoric disorder of the orofacial muscles,-1,Diseases of the nervous system
Hypoglossal Nerve Injuries,-1,Cranial Nerve Diseases
Hypoglossal Nerve Injury,-1,Cranial Nerve Diseases
Hypoglossal Nerve Trauma,-1,Cranial Nerve Diseases
Hypoglossal Nerve Traumas,-1,Cranial Nerve Diseases
"Hypoglossal Neuropathies, Traumatic",-1,Cranial Nerve Diseases
"Hypoglossal Neuropathy, Traumatic",-1,Cranial Nerve Diseases
Hypoglycaemia unawareness,-1,Diseases of the nervous system
Hypoglycaemia-associated autonomic failure,-1,Diseases of the nervous system
Hypohedonic orgasm,-1,Diseases of the nervous system
Hypohidrosis attributable to defective sudomotor innervation or function,-1,Diseases of the nervous system
Hypohidrosis due to acquired neurological injury or disorder,-1,Diseases of the nervous system
Hypohidrosis due to genetic abnormalities of eccrine gland structure or function,-1,Diseases of the nervous system
Hypohidrosis of undetermined aetiology,-1,Diseases of the nervous system
hypohidrotic ectodermal dysplasia,MONDO:0016535,Diseases of the nervous system
hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,MONDO:0009150,Diseases of the nervous system
Hypokinesia,-1,Neurologic Manifestations
intestinal hypomagnesemia 1,MONDO:0011176,Diseases of the nervous system
obsolete hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,MONDO:0019505,Diseases of the nervous system
hypomyelinating leukodystrophy 6,MONDO:0012905,Diseases of the nervous system
hypomyopathic dermatomyositis,MONDO:1010089,Diseases of the nervous system
Hypomyotonia,-1,Neurologic Manifestations
hypophysitis,MONDO:0021156,Central Nervous System Diseases
hypopituitarism,MONDO:0005152,Central Nervous System Diseases
Hypoplasia or agenesis of cerebellar hemispheres,-1,Diseases of the nervous system
"Hyposecretion Syndrome, Anterior Pituitary",-1,Central Nervous System Diseases
"Hyposecretion, Adenohypophyseal",-1,Central Nervous System Diseases
metatropic dysplasia,MONDO:0007986,Central Nervous System Diseases
"Hyposomnia, not elsewhere classified",-1,Diseases of the nervous system
intracranial hypotension,MONDO:0006811,Central Nervous System Diseases
"Hypotension, Post Exercise",-1,Autonomic Nervous System Diseases
"Hypotension, Post-Exercise",-1,Autonomic Nervous System Diseases
"Hypotension, Postexercise",-1,Autonomic Nervous System Diseases
"Hypotensions, Post Exercise",-1,Autonomic Nervous System Diseases
"Hypotensions, Post-Exercise",-1,Autonomic Nervous System Diseases
"Hypotensions, Postexercise",-1,Autonomic Nervous System Diseases
hypothalamic neoplasm,MONDO:0006799,Central Nervous System Diseases
Hypothymic personality disorder,-1,Diseases of the nervous system
Hypotonia,-1,Neurologic Manifestations
"Hypotonia, Muscle",-1,Neurologic Manifestations
"Hypotonia, Muscular",-1,Neurologic Manifestations
"Hypotony, Muscle",-1,Neurologic Manifestations
obesity-hypoventilation syndrome,MONDO:0009763,Sleep Wake Disorders
"Hypoxic ischaemic encephalopathy of newborn, mild",-1,Diseases of the nervous system
"Hypoxic ischaemic encephalopathy of newborn, moderate",-1,Diseases of the nervous system
"Hypoxic ischaemic encephalopathy of newborn, severe",-1,Diseases of the nervous system
Hypoxic-ischemic encephalopathy in cardiac arrest,-1,Diseases of the nervous system
Hypoxic-ischemic encephalopathy in strangulation,-1,Diseases of the nervous system
iatrogenic botulism,MONDO:0016778,Diseases of the nervous system
Idiopathic Acute Facial Neuropathy,-1,Cranial Nerve Diseases
obsolete rare headache disorder,MONDO:0020011,Central Nervous System Diseases
Parkinson disease,MONDO:0005180,Central Nervous System Diseases
Idiopathic acute facial nerve palsy,-1,Diseases of the nervous system
obsolete glossopharyngeal neuralgia,MONDO:0001961,Diseases of the nervous system
Idiopathic hypoglossal neuropathy,-1,Diseases of the nervous system
idiopathic inflammatory myopathy,MONDO:0600023,Diseases of the nervous system
autoimmune/inflammatory optic neuropathy,MONDO:0044685,Diseases of the nervous system
Idiopathic lumbosacral plexopathy,-1,Diseases of the nervous system
non-arteritic anterior ischemic optic neuropathy,MONDO:0000499,Diseases of the nervous system
idiopathic peripheral autonomic neuropathy,MONDO:0001295,Diseases of the nervous system
idiopathic progressive polyneuropathy,MONDO:0001073,Diseases of the nervous system
Idiopathic pure sudomotor failure,-1,Diseases of the nervous system
idiopathic recurrent stupor,MONDO:0017170,Diseases of the nervous system
obsolete rhabdomyolysis,MONDO:0005290,Diseases of the nervous system
idiopathic syringomyelia,MONDO:0020510,Diseases of the nervous system
trigeminal neuralgia,MONDO:0008599,Diseases of the nervous system
"IgG, IgA or IgM-associated osteosclerotic myeloma with polyneuropathy organomegaly endocrinopathy M-spike and skin changes",-1,Diseases of the nervous system
Ilheus virus encephalitis,-1,Diseases of the nervous system
Illusion,-1,Neurologic Manifestations
Illusions,-1,Neurologic Manifestations
Imbalance,-1,Diseases of the nervous system
Immobility,-1,Diseases of the nervous system
Impaired Sensation,-1,Neurologic Manifestations
Impaired Sensations,-1,Neurologic Manifestations
venous insufficiency,MONDO:0000945,Diseases of the nervous system
"Impairment, Coordination",-1,Neurologic Manifestations
"Impairments, Coordination",-1,Neurologic Manifestations
Implantable cardioverter defibrillator high voltage component dysfunction,-1,Diseases of the nervous system
Implantable cardioverter defibrillator noncapture,-1,Diseases of the nervous system
Implantable cardioverter defibrillator output failure,-1,Diseases of the nervous system
Implantable cardioverter defibrillator oversensing,-1,Diseases of the nervous system
Implantable cardioverter defibrillator phrenic nerve stimulation,-1,Diseases of the nervous system
Implantable cardioverter defibrillator pocket erosion,-1,Diseases of the nervous system
Implantable cardioverter defibrillator pocket muscle stimulation,-1,Diseases of the nervous system
Implantable cardioverter defibrillator undersensing,-1,Diseases of the nervous system
Implantable cardioverter defibrillator ventricular lead fracture,-1,Diseases of the nervous system
Implantable cardioverter defibrillator ventricular lead insulation break,-1,Diseases of the nervous system
Implantable cardioverter or defibrillator generator dysfunction,-1,Diseases of the nervous system
Implantable cardioverter or defibrillator ventricular lead dislodgement,-1,Diseases of the nervous system
Impotence of organic origin,-1,Diseases of the nervous system
Impulse control disorder induced by other specified psychoactive substance,-1,Diseases of the nervous system
Impulse control syndrome induced by multiple specified psychoactive substances,-1,Diseases of the nervous system
Inadequate personality disorder,-1,Diseases of the nervous system
Inappropriate implantable cardioverter defibrillator shock,-1,Diseases of the nervous system
Inappropriate withholding of implantable cardioverter defibrillator therapy,-1,Diseases of the nervous system
"Inborn Errors of Metabolism, Brain",-1,Central Nervous System Diseases
Inborn Metabolic Brain Diseases,-1,Central Nervous System Diseases
Inborn Metabolic Brain Disorders,-1,Central Nervous System Diseases
"Inborn Metabolic Disorders, Brain",-1,Central Nervous System Diseases
"Inclusion Body Encephalitis, Measles",-1,Central Nervous System Diseases
Incomplete injury of sacral spinal cord,-1,Diseases of the nervous system
Incomplete loss of consciousness with amnesia,-1,Diseases of the nervous system
Incomplete loss of consciousness without amnesia,-1,Diseases of the nervous system
Incomplete traumatic cauda equina syndrome,-1,Diseases of the nervous system
Increased cerebrospinal fluid production,-1,Diseases of the nervous system
Increased cerebrospinal fluid production due to choroid plexus carcinoma,-1,Diseases of the nervous system
Increased cerebrospinal fluid production due to choroid plexus hypertrophy,-1,Diseases of the nervous system
Increased intracranial pressure due to injury at birth,-1,Diseases of the nervous system
"Increased, Muscle Tone",-1,Neurologic Manifestations
"Inequality, Pupillary Size",-1,Neurologic Manifestations
infant botulism,MONDO:0015804,Diseases of the nervous system
peroxisome biogenesis disorder type 3B,MONDO:0009959,Central Nervous System Diseases
infantile Krabbe disease,MONDO:0016089,Diseases of the nervous system
peroxisome biogenesis disorder 1B,MONDO:0011101,Central Nervous System Diseases
developmental and epileptic encephalopathy,MONDO:0100062,Central Nervous System Diseases
infantile spasms,MONDO:0018097,Central Nervous System Diseases
infantile apnea,MONDO:0019092,Diseases of the nervous system
infantile convulsions and choreoathetosis,MONDO:0011178,Diseases of the nervous system
"parkinsonism-dystonia, infantile",MONDO:0013150,Diseases of the nervous system
autosomal recessive distal spinal muscular atrophy 1,MONDO:0011436,Diseases of the nervous system
"Infarct, ACA",-1,Central Nervous System Diseases
"Infarct, PCA",-1,Central Nervous System Diseases
"Infarction, ACA",-1,Central Nervous System Diseases
"Infarction, PCA",-1,Central Nervous System Diseases
posterior cerebral artery infarction,MONDO:0006917,Central Nervous System Diseases
"Infarctions, ACA",-1,Central Nervous System Diseases
"Infarcts, ACA",-1,Central Nervous System Diseases
"Infarcts, PCA",-1,Central Nervous System Diseases
Infected caesarean section wound following delivery,-1,Diseases of the nervous system
Infected perineal repair following delivery,-1,Diseases of the nervous system
"Infection and inflammatory reaction due to internal fixation device, any site, NOS",-1,Diseases of the nervous system
Infection and inflammatory reaction due to internal joint prosthesis NOS,-1,Diseases of the nervous system
"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts",-1,Diseases of the nervous system
"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract",-1,Diseases of the nervous system
"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",-1,Diseases of the nervous system
"Infection arising from device, implant or graft, not elsewhere classified",-1,Diseases of the nervous system
Infection due to implantable cardioverter defibrillator,-1,Diseases of the nervous system
Infection due to pacemaker,-1,Diseases of the nervous system
Infection due to pacemaker or implantable cardioverter defibrillator,-1,Diseases of the nervous system
Infection of amputation stump,-1,Diseases of the nervous system
Infection of obstetric surgical wound,-1,Diseases of the nervous system
Infection or inflammation complication of intrauterine contraceptive device,-1,Diseases of the nervous system
Infection or inflammation complication of penile prosthesis,-1,Diseases of the nervous system
Infection or inflammation of artificial heart NOS,-1,Diseases of the nervous system
Infection or inflammation of bile duct implant NOS,-1,Diseases of the nervous system
Infection or inflammation of bone growth stimulator NOS,-1,Diseases of the nervous system
Infection or inflammation of breast implant NOS,-1,Diseases of the nervous system
Infection or inflammation of chin implant NOS,-1,Diseases of the nervous system
Infection or inflammation of corneal graft NOS,-1,Diseases of the nervous system
"Infection or inflammation of electronic stimulator of nervous system, NOS",-1,Diseases of the nervous system
Infection or inflammation of epidural or subdural spinal catheter NOS,-1,Diseases of the nervous system
Infection or inflammation of eye implant NOS,-1,Diseases of the nervous system
Infection or inflammation of intraocular lens NOS,-1,Diseases of the nervous system
Infection or inflammation of intraperitoneal catheter NOS,-1,Diseases of the nervous system
Infection or inflammation of neurostimulator NOS,-1,Diseases of the nervous system
Infection or inflammation of vascular balloon implant or device NOS,-1,Diseases of the nervous system
Infection or inflammation of ventricular shunt NOS,-1,Diseases of the nervous system
Infection or inflammatory of bone graft NOS,-1,Diseases of the nervous system
"Infection or inflammatory reaction due to other cardiac and vascular devices, implants and grafts NOS",-1,Diseases of the nervous system
"Infection or inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts NOS",-1,Diseases of the nervous system
Infection or inflammatory reaction of coronary artery bypass graft NOS,-1,Diseases of the nervous system
Infection or inflammatory reaction of heart valve prosthesis NOS,-1,Diseases of the nervous system
Infection or inflammatory reaction of renal dialysis catheter NOS,-1,Diseases of the nervous system
Infection or inflammatory reaction of vascular catheter NOS,-1,Diseases of the nervous system
"Infection, CNS Fungal",-1,Central Nervous System Diseases
"Infection, CNS Parasitic",-1,Central Nervous System Diseases
"Infection, CNS Protozoal",-1,Central Nervous System Diseases
"Infection, Central Nervous System, Protozoal",-1,Central Nervous System Diseases
"Infection, Parameningeal",-1,Central Nervous System Diseases
"Infection, Perimeningeal",-1,Central Nervous System Diseases
West Nile fever,MONDO:0002282,Central Nervous System Diseases
Infections of the cranial nerves,-1,Diseases of the nervous system
"Infections, CNS Fungal",-1,Central Nervous System Diseases
"Infections, CNS Parasitic",-1,Central Nervous System Diseases
"Infections, CNS Protozoal",-1,Central Nervous System Diseases
"Infections, Central Nervous System, Parasitic",-1,Central Nervous System Diseases
"Infections, Fungal, Central Nervous System",-1,Central Nervous System Diseases
"Infections, Parameningeal",-1,Central Nervous System Diseases
"Infections, Parasitic, Central Nervous System",-1,Central Nervous System Diseases
"Infections, Perimeningeal",-1,Central Nervous System Diseases
"Infections, Protozoal, Central Nervous System",-1,Central Nervous System Diseases
X-linked lymphoproliferative disease due to SH2D1A deficiency,MONDO:0024551,Neuromuscular Diseases
Infectious granulomas of the central nervous system,-1,Diseases of the nervous system
non-infectious meningitis,MONDO:0024891,Diseases of the nervous system
Infectious myelitis not elsewhere classified,-1,Diseases of the nervous system
Infectious neuro-retinitis,-1,Diseases of the nervous system
Infectious optic neuropathy,-1,Diseases of the nervous system
Infectious or postinfectious parkinsonism,-1,Diseases of the nervous system
Infectious or postinfectious tics,-1,Diseases of the nervous system
Inferior polioencephalitis,-1,Diseases of the nervous system
Infiltrative optic neuropathy,-1,Diseases of the nervous system
neuritis,MONDO:0002122,Neurologic Manifestations
myelitis,MONDO:0002565,Central Nervous System Diseases
"Inflammatory Facial Neuropathy, Acute",-1,Cranial Nerve Diseases
myositis disease,MONDO:0021167,Neuromuscular Diseases
Inflammatory lumbosacral plexopathy,-1,Diseases of the nervous system
Inflammatory meningitis due to certain specified cause,-1,Diseases of the nervous system
polyneuritis,MONDO:0021718,Diseases of the nervous system
infratentorial neoplasm,MONDO:0037736,Nervous System Neoplasms
Infrequent episodic tension-type headache,-1,Diseases of the nervous system
Infrequent episodic tension-type headache associated with pericranial tenderness,-1,Diseases of the nervous system
Infrequent episodic tension-type headache not associated with pericranial tenderness,-1,Diseases of the nervous system
Inhalation of stomach contents or secretions due to anaesthesia during pregnancy,-1,Diseases of the nervous system
Inhalation of stomach contents or secretions due to anaesthesia during the puerperium,-1,Diseases of the nervous system
inhalational botulism,MONDO:0016777,Diseases of the nervous system
obsolete rare genetic autonomic nervous system disorder,MONDO:0018557,Diseases of the nervous system
iniencephaly,MONDO:0018968,Diseases of the nervous system
Injuries to the neck,-1,Diseases of the nervous system
"Injuries, Accessory Nerve",-1,Cranial Nerve Diseases
"Injuries, Carotid Artery",-1,"Trauma, Nervous System"
"Injuries, Closed Head",-1,"Trauma, Nervous System"
"Injuries, Contre-coup",-1,"Trauma, Nervous System"
"Injuries, Contrecoup",-1,"Trauma, Nervous System"
"Injuries, Cranial Nerve",-1,Cranial Nerve Diseases
"Injuries, Cranial Nerve VII",-1,Cranial Nerve Diseases
"Injuries, Diffuse Axonal",-1,Central Nervous System Diseases
"Injuries, Eye",-1,"Trauma, Nervous System"
"Injuries, Facial",-1,"Trauma, Nervous System"
"Injuries, Glossopharyngeal Nerve",-1,"Trauma, Nervous System"
"Injuries, Hypoglossal Nerve",-1,Cranial Nerve Diseases
"Injuries, Laryngeal Nerve",-1,"Trauma, Nervous System"
"Injuries, Lingual Nerve",-1,"Trauma, Nervous System"
"Injuries, Mandibular",-1,"Trauma, Nervous System"
"Injuries, Maxillofacial",-1,"Trauma, Nervous System"
"Injuries, Oculomotor Nerve",-1,"Trauma, Nervous System"
"Injuries, Olfactory Nerve",-1,Cranial Nerve Diseases
"Injuries, Optic Nerve",-1,Cranial Nerve Diseases
"Injuries, Penetrating Eye",-1,"Trauma, Nervous System"
"Injuries, Penetrating Head",-1,"Trauma, Nervous System"
"Injuries, Seventh Cranial Nerve",-1,Cranial Nerve Diseases
"Injuries, Trigeminal Nerve",-1,Cranial Nerve Diseases
"Injuries, Vagus Nerve",-1,"Trauma, Nervous System"
"Injuries, Vestibulocochlear Nerve",-1,"Trauma, Nervous System"
"Injury nasal sinus, unspecified",-1,Diseases of the nervous system
Injury of abducent nerve,-1,Diseases of the nervous system
Injury of accessory nerve,-1,Diseases of the nervous system
Injury of acoustic nerve,-1,Diseases of the nervous system
"Injury of adenoid, unspecified",-1,Diseases of the nervous system
"Injury of alveolar, unspecified",-1,Diseases of the nervous system
Injury of axillary nerve,-1,Diseases of the nervous system
Injury of blood vessels at neck level,-1,Diseases of the nervous system
Injury of brachial plexus division,-1,Diseases of the nervous system
Injury of brain and cranial nerve,-1,Diseases of the nervous system
Injury of cardiac plexus,-1,Diseases of the nervous system
Injury of carotid artery,-1,Diseases of the nervous system
Injury of cauda equina,-1,Diseases of the nervous system
Injury of celiac ganglion or plexus,-1,Diseases of the nervous system
Injury of cerebral artery,-1,Diseases of the nervous system
Injury of cervical sympathetic nerves,-1,Diseases of the nervous system
"Injury of cheek, unspecified",-1,Diseases of the nervous system
"Injury of chin, unspecified",-1,Diseases of the nervous system
Injury of choroid,-1,Diseases of the nervous system
Injury of common carotid artery,-1,Diseases of the nervous system
Injury of conjunctiva,-1,Diseases of the nervous system
Injury of conjunctiva or corneal abrasion without mention of foreign body,-1,Diseases of the nervous system
Injury of cornea,-1,Diseases of the nervous system
Injury of cranial nerves,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at ankle or foot level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at forearm level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at hip level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at hip or thigh level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at lower leg level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at shoulder or upper arm level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve at thigh level,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve of ankle,-1,Diseases of the nervous system
Injury of cutaneous sensory nerve of foot,-1,Diseases of the nervous system
Injury of deep peroneal nerve at ankle or foot level,-1,Diseases of the nervous system
Injury of digital nerve of other finger,-1,Diseases of the nervous system
Injury of digital nerve of thumb,-1,Diseases of the nervous system
"Injury of epiglottis, not elsewhere classified",-1,Diseases of the nervous system
"Injury of external auditory canal, unspecified",-1,Diseases of the nervous system
Injury of external carotid artery,-1,Diseases of the nervous system
Injury of external jugular vein,-1,Diseases of the nervous system
Injury of extracranial vessels of head,-1,Diseases of the nervous system
Injury of eye or orbit,-1,Diseases of the nervous system
"Injury of eyebrow, unspecified",-1,Diseases of the nervous system
"Injury of eyelid, unspecified",-1,Diseases of the nervous system
Injury of facial nerve,-1,Diseases of the nervous system
Injury of femoral nerve at hip or thigh level,-1,Diseases of the nervous system
"Injury of forehead, unspecified",-1,Diseases of the nervous system
Injury of glossopharyngeal nerve,-1,Diseases of the nervous system
Injury of hard dental tissues and pulp,-1,Diseases of the nervous system
Injury of hypogastric plexus,-1,Diseases of the nervous system
Injury of hypoglossal nerve,-1,Diseases of the nervous system
Injury of inferior mesenteric plexus,-1,Diseases of the nervous system
Injury of internal carotid artery,-1,Diseases of the nervous system
Injury of internal jugular vein,-1,Diseases of the nervous system
Injury of intracranial part of internal carotid artery,-1,Diseases of the nervous system
Injury of intracranial vessels of head,-1,Diseases of the nervous system
Injury of iris,-1,Diseases of the nervous system
"Injury of jaw, unspecified",-1,Diseases of the nervous system
"Injury of labyrinth of ear, unspecified",-1,Diseases of the nervous system
Injury of lacrimal gland,-1,Diseases of the nervous system
Injury of lateral plantar nerve,-1,Diseases of the nervous system
Injury of lens,-1,Diseases of the nervous system
"Injury of lip, unspecified",-1,Diseases of the nervous system
"Injury of lumbar, sacral or pelvic sympathetic nerves",-1,Diseases of the nervous system
Injury of lumbosacral plexus,-1,Diseases of the nervous system
"Injury of mastoid region, unspecified",-1,Diseases of the nervous system
"Injury of maxilla, unspecified",-1,Diseases of the nervous system
Injury of medial plantar nerve,-1,Diseases of the nervous system
Injury of median nerve at forearm level,-1,Diseases of the nervous system
Injury of median nerve at upper arm level,-1,Diseases of the nervous system
Injury of median nerve at wrist or hand level,-1,Diseases of the nervous system
Injury of median nerve of hand,-1,Diseases of the nervous system
Injury of median nerve of wrist,-1,Diseases of the nervous system
Injury of mesenteric plexus,-1,Diseases of the nervous system
Injury of middle or inner ear,-1,Diseases of the nervous system
"Injury of mouth, unspecified",-1,Diseases of the nervous system
Injury of multiple blood vessels at neck level,-1,Diseases of the nervous system
Injury of multiple nerves at ankle or foot level,-1,Diseases of the nervous system
Injury of multiple nerves at forearm level,-1,Diseases of the nervous system
Injury of multiple nerves at hip level,-1,Diseases of the nervous system
Injury of multiple nerves at hip or thigh level,-1,Diseases of the nervous system
Injury of multiple nerves at lower leg level,-1,Diseases of the nervous system
Injury of multiple nerves at shoulder or upper arm level,-1,Diseases of the nervous system
Injury of multiple nerves at thigh level,-1,Diseases of the nervous system
Injury of multiple nerves at wrist or hand level,-1,Diseases of the nervous system
"Injury of muscle, fascia or tendon at neck level",-1,Diseases of the nervous system
"Injury of muscle, fascia or tendon of head",-1,Diseases of the nervous system
Injury of musculocutaneous nerve,-1,Diseases of the nervous system
"Injury of nasal septum, unspecified",-1,Diseases of the nervous system
"Injury of nasopharynx, unspecified",-1,Diseases of the nervous system
Injury of nerve of abdomen,-1,Diseases of the nervous system
"Injury of nerve of ankle, unspecified",-1,Diseases of the nervous system
"Injury of nerve of foot, unspecified",-1,Diseases of the nervous system
"Injury of nerve of hand, unspecified",-1,Diseases of the nervous system
"Injury of nerve of hip, unspecified",-1,Diseases of the nervous system
Injury of nerve of lower back,-1,Diseases of the nervous system
"Injury of nerve of multiple regions, hand",-1,Diseases of the nervous system
"Injury of nerve of multiple regions, wrist",-1,Diseases of the nervous system
"Injury of nerve of pelvic girdle, unspecified",-1,Diseases of the nervous system
Injury of nerve of pelvis,-1,Diseases of the nervous system
"Injury of nerve of thigh, unspecified",-1,Diseases of the nervous system
"Injury of nerve of toe, unspecified",-1,Diseases of the nervous system
"Injury of nerve of wrist, unspecified",-1,Diseases of the nervous system
Injury of nerve root of cervical spine,-1,Diseases of the nervous system
Injury of nerve root of lumbar spine,-1,Diseases of the nervous system
Injury of nerve root of sacral spine,-1,Diseases of the nervous system
Injury of nerve root of thoracic spine,-1,Diseases of the nervous system
"Injury of nerves at abdomen, lower back or pelvis level",-1,Diseases of the nervous system
Injury of nerves at ankle or foot level,-1,Diseases of the nervous system
Injury of nerves at forearm level,-1,Diseases of the nervous system
Injury of nerves at hip or thigh level,-1,Diseases of the nervous system
Injury of nerves at lower leg level,-1,Diseases of the nervous system
Injury of nerves at neck level,-1,Diseases of the nervous system
Injury of nerves at shoulder or upper arm level,-1,Diseases of the nervous system
Injury of nerves at thorax level,-1,Diseases of the nervous system
Injury of nerves at wrist or hand level,-1,Diseases of the nervous system
"Injury of nerves or lumbar spinal cord at abdomen, lower back or pelvis level",-1,Diseases of the nervous system
Injury of nerves or spinal cord at neck level,-1,Diseases of the nervous system
Injury of nerves or spinal cord at thorax level,-1,Diseases of the nervous system
Injury of oculomotor nerve,-1,Diseases of the nervous system
Injury of oesophageal plexus,-1,Diseases of the nervous system
Injury of olfactory nerve,-1,Diseases of the nervous system
Injury of optic chiasm,-1,Diseases of the nervous system
Injury of optic nerve or pathways,-1,Diseases of the nervous system
"Injury of optic nerve, bilateral",-1,Diseases of the nervous system
"Injury of optic nerve, unilateral",-1,Diseases of the nervous system
"Injury of optic tract or pathways, bilateral",-1,Diseases of the nervous system
"Injury of optic tract or pathways, unilateral",-1,Diseases of the nervous system
"Injury of palate, unspecified",-1,Diseases of the nervous system
Injury of periodontal tissues,-1,Diseases of the nervous system
Injury of peripheral nerve of abdomen,-1,Diseases of the nervous system
"Injury of peripheral nerve of abdomen, lower back or pelvis",-1,Diseases of the nervous system
Injury of peripheral nerve of lower back,-1,Diseases of the nervous system
Injury of peripheral nerve of pelvis,-1,Diseases of the nervous system
